alert_tag,explication,remediation
lsass_access,"Acces a la memoire de LSASS : tentative de vol d'identifiants (dump type mimikatz).","Isoler le poste, scan ESET complet, reinitialiser les comptes qui s'y sont connectes, capturer la memoire."
dcsync,"Replication AD demandee par un compte NON contrôleur de domaine : extraction possible de tous les hachages (DCSync).","Isoler la source, reinitialiser krbtgt deux fois, auditer les droits de replication delegues."
kerberoasting,"Demande anormale de tickets de service en RC4 : collecte de SPN pour cassage hors-ligne.","Verifier le compte demandeur, basculer les comptes de service en gMSA, surveiller l'AES anormal (0x12)."
sysmon_injection,"Injection de code dans un processus legitime : evasion et execution furtive.","Isoler le poste, identifier le processus parent, scan complet, conserver la memoire pour analyse."
powershell_suspect,"PowerShell obfusque ou encode (-enc, downloadstring, iex) : execution potentiellement malveillante.","Examiner la ligne de commande et l'utilisateur, isoler si confirme, chercher la persistance."
threat_intel,"Communication avec une IP reputee malveillante (Tor / Spamhaus DROP).","Bloquer l'IP via SOAR, identifier l'hote source, inspecter les flux associes."
fortigate_utm,"Le FortiGate a bloque une menace (IPS / antivirus / webfilter) sur un flux expose.","Verifier la cible et la signature, confirmer le blocage, correler avec les autres detections de l'hote."
winsec_critique,"Sabotage de la journalisation Windows : effacement de journal ou desactivation de l'audit.","CRITIQUE : isoler, restaurer l'audit, enqueter - signe frequent d'une compromission active."
vsphere_vm_destroy,"Suppression de machine virtuelle sur vSphere (hors snapshot Veeam).","Verifier l'auteur et l'autorisation, restaurer depuis sauvegarde si illegitime, durcir les droits vCenter."
vsphere_shell_ssh,"Ouverture de shell / SSH sur un hote ESXi ou vCenter.","Confirmer l'intervention planifiee, sinon couper l'acces, auditer les comptes vSphere."
vsphere_auth_fail,"Echecs d'authentification repetes sur vSphere.","Identifier la source, verifier s'il s'agit d'un service casse ou d'une attaque, durcir / verrouiller."
m365_etranger,"Connexion M365 depuis un pays inhabituel.","Confirmer le deplacement aupres de l'utilisateur, sinon revoquer les sessions et reinitialiser le mot de passe + MFA."
m365_risque,"Connexion M365 signalee a risque par Entra ID.","Revoquer les sessions, exiger MFA, verifier les regles de boite et les consentements OAuth."
m365_mail_forward,"Regle de transfert de courrier vers un domaine externe : exfiltration de messagerie.","Supprimer la regle, reinitialiser le compte, verifier l'etendue des messages transferes."
m365_partage_externe,"Partage externe de fichier (lien anonyme / invite).","Verifier la legitimite, restreindre le partage si sensible, sensibiliser l'utilisateur."
m365_role,"Attribution de role privilegie M365 / Entra ID.","Confirmer le changement aupres de l'administrateur, revoquer si non justifie."
m365_mailbox_deleg,"Delegation de boite aux lettres ajoutee.","Verifier la demande, retirer la delegation si non justifiee, auditer les acces a la boite."
admin_share,"Acces a des partages d'administration (ADMIN$ / C$) sur plusieurs hotes : balayage lateral.","Identifier le compte, verifier la legitimite, isoler si propagation, reinitialiser le compte."
canary,"Un compte leurre (canari) a ete touche : aucune utilisation legitime possible.","CRITIQUE : tout acces est suspect - isoler la source, enqueter immediatement, reinitialiser les comptes voisins."
veeam_job_echec,"Tache de sauvegarde Veeam en echec : risque sur la capacite de restauration.","Investiguer la session VBR, corriger la cause, relancer la sauvegarde du serveur concerne."
defender,"Microsoft Defender a detecte ou a ete desactive sur un poste.","Confirmer la remediation Defender, scan complet, verifier qu'il n'a pas ete desactive par un attaquant."
ransomware_indicator,"Indicateur de rancongiciel : effacement des clichés (vssadmin / wbadmin / bcdedit).","CRITIQUE : isoler immediatement, couper les partages, declencher le plan de reponse rancongiciel."
impossible_travel,"Deux connexions geographiquement incompatibles dans un delai trop court (compte partage ou vole).","Revoquer les sessions, reinitialiser le mot de passe + MFA, verifier l'origine des connexions."
beaconing,"Communications periodiques regulieres vers une IP externe : balise de commande et contrôle (C2).","Bloquer la destination (SOAR), isoler l'hote, identifier le processus emetteur, scan complet."
volume_spike,"Pic anormal de volume de logs/flux pour une source : exfiltration ou incident possible.","Identifier la cause, verifier s'il s'agit d'exfiltration, correler avec les autres detections."
volume_drop,"Chute anormale de volume : source muette (panne de collecte ou desactivation volontaire).","Verifier l'agent/la source concernee, restaurer la collecte, ecarter une desactivation malveillante."
dns_tunneling,"Requetes DNS a forte entropie / sous-domaines multiples : tunnel DNS d'exfiltration ou C2.","Bloquer le domaine, isoler l'hote, inspecter le processus, durcir le filtrage DNS."
gpo_modification,"Modification de strategie de groupe (GPO) : vecteur de persistance / elevation a l'echelle du domaine.","Verifier l'auteur et le contenu, annuler si non autorise, auditer les liens de GPO."
asrep_roasting,"Compte sans pre-authentification Kerberos cible (AS-REP roasting) : cassage hors-ligne possible.","Activer la pre-authentification sur le compte, durcir le mot de passe, surveiller la source."
lolbin_suspect,"Binaire systeme detourne (certutil / regsvr32 / rundll32 / mshta / bitsadmin) : execution / telechargement furtif.","Examiner la ligne de commande, isoler si malveillant, chercher la charge telechargee."
persistence_autorun,"Cle de demarrage / Run ajoutee : mecanisme de persistance.","Verifier l'entree et le binaire associe, supprimer si malveillant, scan complet."
m365_oauth_consent,"Consentement OAuth accorde a une application : vol potentiel de jeton d'acces.","Revoquer le consentement, auditer les permissions de l'application, restreindre le consentement utilisateur."
network_scan,"Balayage reseau interne (decouverte de services / ports) : reconnaissance.","Identifier la source, verifier s'il s'agit d'un outil legitime, isoler si reconnaissance hostile."
masquerading,"Binaire portant un nom legitime mais hors emplacement attendu (usurpation).","Verifier le chemin et la signature, isoler si malveillant, comparer au binaire d'origine."
explicit_cred_use,"Utilisation explicite d'identifiants (RunAs / 4648) via un service : reutilisation suspecte.","Verifier le compte source et la cible, ecarter un mouvement lateral, reinitialiser si besoin."
exposition_internet,"Service interne expose directement sur Internet.","Verifier la necessite de l'exposition, restreindre / fermer la regle, durcir le service expose."
data_exfil,"Volume sortant anormalement eleve vers une destination : exfiltration probable.","Identifier l'hote et la destination, bloquer si confirme, evaluer les donnees concernees."
gpp_creds_access,"Acces aux preferences de strategie de groupe (mots de passe GPP en clair).","Supprimer les GPP contenant des secrets, reinitialiser les comptes exposes, durcir SYSVOL."
kerberos_rc4,"Ticket Kerberos en RC4 anormal : indicateur de Kerberoasting.","Verifier le compte, basculer en AES/gMSA, surveiller les pics de tickets de service."
local_admin_add,"Ajout dans le groupe administrateurs local : elevation / persistance.","Confirmer le changement, retirer si non autorise, auditer les administrateurs locaux du parc."
local_account_create,"Creation d'un compte local : persistance possible.","Verifier la legitimite, supprimer si non justifie, auditer les comptes locaux de l'hote."
new_country,"Premiere connexion depuis un nouveau pays pour ce compte.","Confirmer le deplacement, sinon revoquer les sessions et reinitialiser le compte + MFA."
adcs_abuse,"Abus de l'autorite de certification AD (ESC1 / ESC8) : usurpation par certificat.","CRITIQUE : verifier les demandes de certificat, revoquer, corriger les gabarits vulnerables."
wmi_lateral_exec,"Execution via WMI avec un binaire detourne : mouvement lateral.","Isoler l'hote, identifier le compte, scan complet, verifier les hotes adjacents."
shadow_credentials,"Modification de msDS-KeyCredentialLink : persistance par identifiants fantomes.","CRITIQUE : retirer la cle ajoutee, reinitialiser le compte cible, auditer les ecritures sur l'attribut."
ldap_recon,"Requetes LDAP anormales : reconnaissance d'annuaire (comptes / groupes).","Identifier la source, verifier l'outil, isoler si reconnaissance hostile, durcir les droits de lecture."
lateral_movement,"Un compte ouvre une session sur plusieurs hotes en peu de temps : mouvement lateral.","Verifier la legitimite, isoler la source si compromise, reinitialiser le compte, tracer le chemin."
eset_detection,"ESET a detecte une menace sur un endpoint.","Isoler le poste, scan complet ESET, confirmer la remediation, enqueter sur la source."
waf_block,"Le WAF (BunkerWeb) a bloque une requete d'exploitation.","Verifier le vhost et l'URL, bloquer l'IP si exploit, inspecter les journaux applicatifs."
vault_auth_fail,"Echecs d'authentification sur Vaultwarden (coffre de mots de passe).","Identifier la source, verrouiller si attaque, ecarter un service casse, durcir l'acces au coffre."
vault_admin,"Action d'administration sur Vaultwarden.","Confirmer l'operation aupres de l'administrateur, revoquer si non justifiee."
vault_admin_abuse,"Tentatives repetees / abus sur l'administration Vaultwarden.","CRITIQUE : verrouiller l'acces, enqueter, reinitialiser les secrets exposes."
scheduled_task,"Tache planifiee creee : mecanisme courant de persistance / elevation.","Verifier la tache et son auteur, supprimer si malveillante, scan complet."
service_install,"Installation d'un nouveau service Windows : persistance / elevation.","Verifier le binaire et le compte, supprimer si non autorise, scan complet."
uac_bypass,"Contournement du controle de compte utilisateur (UAC) : elevation furtive.","Isoler le poste, identifier le processus, scan complet, verifier la persistance."
m365_brute_externe,"Tentatives de force brute M365 depuis l'externe.","Verrouiller / proteger les comptes vises, exiger MFA, bloquer les IP sources."
remote_discovery,"Decouverte de systemes distants : reconnaissance reseau.","Identifier la source, verifier l'outil, isoler si reconnaissance hostile."
service_stop_securite,"Arret d'un service de securite : tentative de neutralisation des defenses.","Isoler le poste, relancer le service, enqueter sur l'auteur, scan complet."
file_sensitive_access,"Acces a des fichiers sensibles sur partage reseau.","Verifier la legitimite de l'acces, restreindre les droits si necessaire, auditer le partage."
file_delete_sensible,"Suppression de fichiers sensibles : destruction de donnees possible.","Verifier l'auteur, restaurer depuis sauvegarde si illegitime, auditer les droits sur le partage."
